年月日,平均気温,天気概況（昼）,都市
2022/3/4,1.6,-8.6,雪のち曇り,旭川
2022/3/5,3.2,-9.3,曇り,旭川
2022/3/6,2.6,-6.8,曇り,旭川
2022/3/7,2.2,-5.5,曇りときどき晴れ,旭川
2022/3/8,3.6,-3.3,雪のち曇り,旭川
2022/3/9,4.5,-5.5,小雨ときどき雪,旭川
2022/3/10,7.6,-6.2,晴れ,旭川
2022/3/11,6.8,-5.1,曇り,旭川
2022/3/12,4.3,-1.7,みぞれときどき曇り,旭川
2022/3/13,5.7,-5.3,曇りときどき晴れ,旭川
2022/3/14,7.0,-0.9,曇りときどき晴れ,旭川
2022/3/15,0.4,-1.9,雪,旭川
2022/3/16,4.7,-1.1,曇りのちみぞれ,旭川
2022/3/17,4.4,-0.4,みぞれときどき曇り,旭川
2022/3/18,3.5,-2.1,曇りときどき雪,旭川
2022/3/19,3.4,-2.3,曇りときどき雪,旭川
2022/3/20,2.2,-2.8,曇りときどき雪,旭川
2022/3/21,2.8,-4.5,雪ときどき曇り,旭川
2022/3/22,3.3,-3.9,雪ときどきみぞれ,旭川
2022/3/23,5.7,-4.0,曇り,旭川
2022/3/24,5.5,-1.3,曇り,旭川
2022/3/25,8.4,-2.2,晴れ,旭川
2022/3/26,10.7,2.4,曇り,旭川
2022/3/27,8.0,2.0,雨のち曇り,旭川
2022/3/28,5.8,0.4,みぞれときどき雪,旭川
2022/3/29,11.7,-3.1,晴れ,旭川
2022/3/30,8.4,-0.5,曇り,旭川
2022/3/31,7.8,-2.9,晴れ,旭川
2022/4/1,2.7,-2.7,曇り,旭川
2022/4/2,6.7,-3.3,曇りときどき晴れ,旭川
2022/4/3,9.9,1.8,曇りときどき晴れ,旭川
2022/4/4,14.1,-2.1,晴れ,旭川
2022/4/5,16.2,-1.7,晴れときどき曇り,旭川
2022/4/6,10.5,0.0,みぞれときどき雨,旭川
2022/4/7,8.0,-2.4,曇りときどき晴れ,旭川
2022/4/8,8.2,-0.3,曇りのち晴れ,旭川
2022/4/9,16.0,2.0,曇りときどき晴れ,旭川
2022/4/10,17.1,5.1,曇りのち晴れ,旭川
2022/4/11,17.3,3.3,曇り,旭川
2022/4/12,18.9,4.4,曇り,旭川
2022/4/13,8.7,2.1,曇り,旭川
2022/4/14,12.1,-0.3,晴れ,旭川
2022/4/15,11.9,-0.1,曇りのち晴れ,旭川
2022/4/16,12.6,-1.8,晴れ,旭川
2022/4/17,14.3,-1.5,晴れのち雨,旭川
2022/4/18,12.0,-0.9,曇り,旭川
2022/4/19,12.0,1.8,晴れときどき曇り,旭川
2022/4/20,17.0,-1.4,晴れ,旭川
2022/4/21,22.7,1.9,晴れ,旭川
2022/4/22,19.8,7.8,曇り,旭川
2022/4/23,13.3,1.7,雨ときどき曇り,旭川
2022/4/24,18.9,-1.3,晴れ,旭川
2022/4/25,17.9,4.0,晴れ,旭川
2022/4/26,24.5,1.4,晴れときどき曇り,旭川
2022/4/27,13.7,7.6,雨ときどき曇り,旭川
2022/4/28,12.5,1.8,晴れ,旭川
2022/4/29,13.5,-0.7,晴れときどき曇り,旭川
2022/4/30,14.6,-1.0,晴れ,旭川
2022/5/1,12.9,1.5,曇り,旭川
2022/5/2,11.3,4.5,雨ときどき曇り,旭川
2022/5/3,8.2,3.7,雨,旭川
2022/5/4,11.9,2.9,雨,旭川
2022/5/5,21.1,1.6,晴れ,旭川
2022/5/6,27.8,6.7,晴れ,旭川
2022/5/7,25.7,9.8,曇り,旭川
2022/5/8,13.4,6.0,雨ときどき曇り,旭川
2022/5/9,15.6,5.6,晴れときどき曇り,旭川
2022/5/10,23.5,7.2,晴れ,旭川
2022/5/11,26.5,4.4,晴れ,旭川
2022/5/12,24.5,7.9,曇りときどき晴れ,旭川
2022/5/13,14.8,10.3,雨ときどき曇り,旭川
2022/5/14,22.5,6.6,曇りときどき雨,旭川
2022/5/15,18.1,7.2,曇りときどき晴れ,旭川
2022/5/16,21.5,8.4,晴れ,旭川
2022/5/17,23.4,4.6,晴れ,旭川
2022/5/18,23.4,7.7,晴れ,旭川
2022/5/19,20.6,8.0,曇りときどき晴れ,旭川
2022/5/20,20.8,9.6,曇りのち雨,旭川
2022/5/21,26.6,7.0,晴れときどき曇り,旭川
2022/5/22,25.0,12.5,曇りときどき晴れ,旭川
2022/5/23,23.1,12.0,晴れときどき曇り,旭川
2022/5/24,21.8,10.1,曇りときどき晴れ,旭川
2022/5/25,26.4,10.0,晴れ,旭川
2022/5/26,29.2,10.6,晴れ,旭川
2022/5/27,23.2,13.8,曇りときどき雨,旭川
2022/5/28,19.1,11.5,雨ときどき曇り,旭川
2022/5/29,13.3,8.1,曇り,旭川
2022/5/30,21.8,7.2,晴れ,旭川
2022/5/31,19.0,7.2,曇り,旭川
2022/6/1,16.0,8.1,曇りときどき雨,旭川
2022/6/2,21.1,9.8,曇りときどき晴れ,旭川
2022/6/3,20.0,7.3,曇りときどき晴れ,旭川
2022/6/4,15.1,6.5,晴れときどき曇り,旭川
2022/6/5,17.2,5.8,晴れ,旭川
2022/6/6,21.7,5.2,晴れ,旭川
2022/6/7,21.9,5.7,晴れ,旭川
2022/6/8,20.7,4.8,晴れ,旭川
2022/6/9,22.1,8.3,曇りときどき晴れ,旭川
2022/6/10,24.0,9.1,晴れ,旭川
2022/6/11,20.8,12.7,曇りときどき晴れ,旭川
2022/6/12,19.3,10.9,曇り,旭川
2022/1/1,-2.3,-10.4,雪,札幌
2022/1/2,1.7,-10.2,曇り,札幌
2022/1/3,-5.1,-7.6,雪,札幌
2022/1/4,-3.3,-7.7,雪ときどき曇り,札幌
2022/1/5,-0.4,-6.1,雪ときどき曇り,札幌
2022/1/6,-2.3,-7.9,晴れ,札幌
2022/1/7,-2.9,-8.0,曇りのち晴れ,札幌
2022/1/8,0.2,-8.9,曇りときどき晴れ,札幌
2022/1/9,1.7,-5.3,雪ときどき晴れ,札幌
2022/1/10,-0.1,-9.2,晴れのち曇り,札幌
2022/1/11,1.7,-5.9,曇りのち雪,札幌
2022/1/12,2.5,-0.1,雪ときどき曇り,札幌
2022/1/13,1.7,-1.0,雪ときどき曇り,札幌
2022/1/14,0.7,-1.1,雪,札幌
2022/1/15,2.3,-0.2,雪,札幌
2022/1/16,2.2,-2.6,曇り,札幌
2022/1/17,2.8,-3.8,晴れ,札幌
2022/1/18,0.2,-8.1,晴れのち曇り,札幌
2022/1/19,0.8,-6.9,晴れ,札幌
2022/1/20,-1.5,-8.2,曇りときどき晴れ,札幌
2022/1/21,-0.2,-10.2,雪,札幌
2022/1/22,-2.2,-4.3,大雪,札幌
2022/1/23,0.1,-9.3,晴れ,札幌
2022/1/24,-0.8,-6.9,曇りときどき雪,札幌
2022/1/25,-0.9,-5.3,雪のち晴れ,札幌
2022/1/26,2.2,-3.5,曇り,札幌
2022/1/27,1.6,-4.3,曇りときどき晴れ,札幌
2022/1/28,0.2,-7.8,晴れ,札幌
2022/1/29,-3.9,-7.9,雪ときどき晴れ,札幌
2022/1/30,-4.9,-8.9,晴れ,札幌
2022/1/31,-5.9,-9.2,雪,札幌
2022/2/1,-0.6,-8.7,晴れ,札幌
2022/2/2,0.5,-5.0,晴れときどき雪,札幌
2022/2/3,0.9,-6.4,晴れ,札幌
2022/2/4,-0.4,-6.8,晴れときどき曇り,札幌
2022/2/5,-1.6,-9.4,晴れのち雪,札幌
2022/2/6,-1.2,-8.2,大雪,札幌
2022/2/7,0.9,-7.1,晴れ,札幌
2022/2/8,-0.7,-8.2,晴れときどき雪,札幌
2022/2/9,0.1,-5.6,雪ときどき晴れ,札幌
2022/2/10,0.0,-8.5,晴れ,札幌
2022/2/11,0.5,-8.5,晴れ,札幌
2022/2/12,1.1,-6.8,晴れ,札幌
2022/2/13,1.5,-3.9,晴れ,札幌
2022/2/14,0.9,-5.3,雪ときどき曇り,札幌
2022/2/15,0.2,-8.2,曇りときどき雪,札幌
2022/2/16,2.0,-5.2,雪のち晴れ,札幌
2022/2/17,1.2,-4.1,晴れ,札幌
2022/2/18,-0.1,-5.9,晴れときどき曇り,札幌
2022/2/19,2.1,-7.2,曇り,札幌
2022/2/20,2.6,-4.0,雪ときどき曇り,札幌
2022/2/21,0.3,-4.0,雪,札幌
2022/2/22,-0.9,-3.6,雪,札幌
2022/2/23,-0.2,-4.0,雪,札幌
2022/2/24,1.6,-4.1,晴れときどき曇り,札幌
2022/2/25,1.9,-2.3,曇りのち雪,札幌
2022/2/26,8.0,-2.2,曇りときどき晴れ,札幌
2022/2/27,4.5,-1.6,雪ときどき曇り,札幌
2022/2/28,2.1,-2.5,雪ときどき曇り,札幌
2022/3/1,4.2,-2.0,曇りのち雪,札幌
2022/3/2,2.7,-3.5,晴れときどき曇り,札幌
2022/3/3,1.8,-2.7,雪ときどき曇り,札幌
2022/3/4,4.0,-3.2,晴れ,札幌
2022/3/5,3.1,-2.2,曇りのち雪,札幌
2022/3/6,3.8,-2.6,晴れ,札幌
2022/3/7,3.4,-0.7,曇り,札幌
2022/3/8,3.4,-0.9,曇りときどき雪,札幌
2022/3/9,4.7,-2.4,晴れ,札幌
2022/3/10,8.1,-2.7,晴れ,札幌
2022/3/11,6.2,1.0,曇り,札幌
2022/3/12,4.8,0.3,曇りときどき雨,札幌
2022/3/13,6.9,-0.7,晴れときどき曇り,札幌
2022/3/14,6.7,1.4,曇りのち晴れ,札幌
2022/3/15,2.5,0.3,雪,札幌
2022/3/16,6.6,0.3,曇り,札幌
2022/3/17,4.3,-0.7,曇り,札幌
2022/3/18,4.2,-2.6,晴れのち曇り,札幌
2022/3/19,4.0,-1.6,雪のち曇り,札幌
2022/3/20,2.7,-1.0,雪ときどき曇り,札幌
2022/3/21,4.8,-1.1,晴れときどき雪,札幌
2022/3/22,4.8,-1.1,雪のち雨,札幌
2022/3/23,7.2,-1.9,曇り,札幌
2022/3/24,7.2,1.6,曇りときどき雨,札幌
2022/3/25,9.1,0.2,曇りときどき晴れ,札幌
2022/3/26,7.8,3.9,曇り,札幌
2022/3/27,11.8,4.6,曇りのち晴れ,札幌
2022/3/28,6.7,1.8,雨ときどき曇り,札幌
2022/3/29,13.1,1.1,晴れ,札幌
2022/3/30,10.4,1.9,曇りときどき雨,札幌
2022/3/31,0.0,0.9,晴れのち雪,札幌
2022/4/1,4.6,-0.9,雪ときどき晴れ,札幌
2022/4/2,9.3,-0.2,晴れ,札幌
2022/4/3,12.2,4.0,晴れ,札幌
2022/4/4,14.2,2.1,晴れ,札幌
2022/4/5,16.7,3.5,晴れ,札幌
2022/4/6,7.6,2.5,曇りときどき雨,札幌
2022/4/7,9.2,1.0,曇り,札幌
2022/4/8,9.3,0.8,曇りときどき雨,札幌
2022/4/9,12.9,4.2,晴れ,札幌
2022/4/10,15.8,6.1,曇り,札幌
2022/4/11,19.9,7.0,晴れ,札幌
2022/4/12,21.2,8.3,曇り,札幌
2022/4/13,8.5,4.5,曇り,札幌
2022/4/14,10.9,4.0,曇り,札幌
2022/4/15,11.4,3.0,曇りのち晴れ,札幌
2022/4/16,12.3,4.1,晴れ,札幌
2022/4/17,15.3,4.4,曇り,札幌
2022/4/18,12.5,5.8,曇り,札幌
2022/4/19,13.5,4.0,晴れ,札幌
2022/4/20,18.9,5.3,晴れ,札幌
2022/4/21,23.2,7.2,晴れ,札幌
2022/4/22,21.5,11.1,晴れときどき曇り,札幌
2022/4/23,15.1,6.5,晴れときどき曇り,札幌
2022/4/24,16.7,5.0,晴れ,札幌
2022/4/25,17.1,7.2,晴れ,札幌
2022/4/26,17.7,9.2,曇り,札幌
2022/4/27,16.6,9.9,晴れ,札幌
2022/4/28,13.0,7.8,晴れ,札幌
2022/4/29,12.4,5.4,曇り,札幌
2022/4/30,17.0,6.2,晴れ,札幌
2022/5/1,11.2,7.2,雨ときどき曇り,札幌
2022/5/2,13.3,5.3,晴れのち雨,札幌
2022/5/3,13.9,5.5,曇りときどき雨,札幌
2022/5/4,14.6,6.8,雨,札幌
2022/5/5,18.7,5.9,晴れ,札幌
2022/5/6,27.4,11.1,晴れ,札幌
2022/5/7,23.7,11.5,曇りのち雨,札幌
2022/5/8,15.6,8.5,晴れときどき雨,札幌
2022/5/9,18.6,7.9,晴れ,札幌
2022/5/10,24.8,8.7,晴れ,札幌
2022/5/11,27.0,10.1,晴れ,札幌
2022/5/12,26.2,14.1,晴れときどき曇り,札幌
2022/5/13,19.7,10.5,曇り,札幌
2022/5/14,22.2,8.4,曇りときどき雨,札幌
2022/5/15,18.6,8.6,晴れのち曇り,札幌
2022/5/16,21.6,9.8,晴れ,札幌
2022/5/17,24.4,9.7,晴れのち曇り,札幌
2022/5/18,23.5,11.6,晴れ,札幌
2022/5/19,21.3,11.8,曇り,札幌
2022/5/20,21.4,13.7,曇りのち晴れ,札幌
2022/5/21,24.0,12.3,曇りときどき晴れ,札幌
2022/5/22,22.7,14.5,曇りときどき晴れ,札幌
2022/5/23,21.7,11.5,晴れ,札幌
2022/5/24,20.6,10.3,曇り,札幌
2022/5/25,27.0,13.2,晴れ,札幌
2022/5/26,27.9,15.2,晴れ,札幌
2022/5/27,18.0,14.0,雨,札幌
2022/5/28,16.8,12.4,雨ときどき曇り,札幌
2022/5/29,14.7,11.2,雨ときどき曇り,札幌
2022/5/30,22.6,11.3,晴れ,札幌
2022/5/31,14.5,10.5,曇りのち雨,札幌
2022/6/1,15.9,10.9,曇り,札幌
2022/6/2,17.8,11.8,曇り,札幌
2022/6/3,15.2,11.4,曇りのち晴れ,札幌
2022/6/4,15.0,8.9,曇りときどき晴れ,札幌
2022/6/5,15.5,7.9,晴れ,札幌
2022/6/6,18.8,11.3,曇り,札幌
2022/6/7,19.0,9.0,晴れ,札幌
2022/6/8,18.0,9.9,晴れ,札幌
2022/6/9,20.9,9.2,晴れときどき曇り,札幌
2022/6/10,21.7,12.8,晴れ,札幌
2022/6/11,21.4,12.7,晴れときどき曇り,札幌
2022/6/12,16.4,11.5,晴れ,札幌
2022/1/1,-4.8,-13.1,晴れときどき曇り,釧路
2022/1/2,3.5,-15.5,曇りときどき晴れ,釧路
2022/1/3,1.1,-7.0,曇りときどき晴れ,釧路
2022/1/4,-2.1,-6.9,晴れときどき曇り,釧路
2022/1/5,-0.9,-8.2,晴れときどき曇り,釧路
2022/1/6,-1.5,-11.6,晴れ,釧路
2022/1/7,-2.9,-12.7,曇りときどき晴れ,釧路
2022/1/8,1.8,-14.4,晴れときどき曇り,釧路
2022/1/9,1.1,-7.3,曇りときどき晴れ,釧路
2022/1/10,0.6,-13.4,晴れ,釧路
2022/1/11,1.7,-13.3,晴れのち曇り,釧路
2022/1/12,3.3,0.5,みぞれのち曇り,釧路
2022/1/13,4.5,0.4,曇りときどき晴れ,釧路
2022/1/14,3.6,0.6,曇りときどき晴れ,釧路
2022/1/15,4.4,-0.8,晴れ,釧路
2022/1/16,2.6,-4.0,晴れ,釧路
2022/1/17,0.6,-2.0,雪,釧路
2022/1/18,1.5,-2.2,曇りときどき晴れ,釧路
2022/1/19,0.2,-8.6,晴れ,釧路
2022/1/20,-1.9,-13.0,晴れ,釧路
2022/1/21,0.1,-6.2,曇りときどき晴れ,釧路
2022/1/22,-0.4,-7.2,晴れ,釧路
2022/1/23,-1.1,-12.2,晴れ,釧路
2022/1/24,-0.2,-7.9,晴れ,釧路
2022/1/25,-1.1,-9.9,晴れ,釧路
2022/1/26,0.3,-12.1,晴れときどき雪,釧路
2022/1/27,-2.3,-10.5,雪ときどき曇り,釧路
2022/1/28,-3.3,-14.3,晴れのち曇り,釧路
2022/1/29,-1.0,-11.8,晴れ,釧路
2022/1/30,-3.6,-10.9,晴れ,釧路
2022/1/31,-4.4,-17.6,晴れときどき曇り,釧路
2022/2/1,1.3,-13.4,晴れ,釧路
2022/2/2,0.3,-12.7,晴れ,釧路
2022/2/3,0.9,-12.9,晴れ,釧路
2022/2/4,-0.1,-14.2,晴れ,釧路
2022/2/5,-1.3,-13.6,晴れときどき曇り,釧路
2022/2/6,-0.1,-10.3,晴れときどき曇り,釧路
2022/2/7,1.3,-6.9,曇りときどき晴れ,釧路
2022/2/8,-0.2,-11.8,晴れときどき曇り,釧路
2022/2/9,-0.4,-10.4,晴れときどき曇り,釧路
2022/2/10,-0.8,-12.2,晴れ,釧路
2022/2/11,-0.8,-12.9,晴れ,釧路
2022/2/12,-0.9,-7.9,曇り,釧路
2022/2/13,-0.6,-8.5,雪ときどき曇り,釧路
2022/2/14,0.6,-8.2,晴れときどき曇り,釧路
2022/2/15,-1.9,-9.2,晴れときどき曇り,釧路
2022/2/16,-2.8,-8.5,曇りときどき雪,釧路
2022/2/17,-1.2,-6.7,曇り,釧路
2022/2/18,-0.4,-8.8,晴れときどき曇り,釧路
2022/2/19,-0.8,-12.0,晴れときどき曇り,釧路
2022/2/20,1.4,-5.4,みぞれときどき雪,釧路
2022/2/21,0.9,-3.0,曇り,釧路
2022/2/22,1.1,-4.8,曇りときどき晴れ,釧路
2022/2/23,-1.0,-8.0,曇りときどき晴れ,釧路
2022/2/24,1.7,-12.4,晴れときどき曇り,釧路
2022/2/25,3.8,-11.0,晴れ,釧路
2022/2/26,4.2,-10.0,晴れときどき曇り,釧路
2022/2/27,4.1,-1.3,曇り,釧路
2022/2/28,2.9,-3.3,晴れ,釧路
2022/3/1,2.2,-3.6,曇りときどき晴れ,釧路
2022/3/2,3.3,-4.4,晴れときどき曇り,釧路
2022/3/3,0.9,-7.9,曇りときどき晴れ,釧路
2022/3/4,2.4,-8.3,晴れ,釧路
2022/3/5,3.1,-8.3,晴れのち曇り,釧路
2022/3/6,3.8,-1.5,晴れ,釧路
2022/3/7,3.6,-3.4,晴れ,釧路
2022/3/8,2.6,-6.9,晴れときどき曇り,釧路
2022/3/9,3.1,-5.3,晴れ,釧路
2022/3/10,4.4,-6.5,晴れ,釧路
2022/3/11,3.6,-5.3,曇り,釧路
2022/3/12,7.6,0.2,みぞれときどき雪,釧路
2022/3/13,4.6,-1.0,晴れときどき曇り,釧路
2022/3/14,3.5,-0.4,曇り,釧路
2022/3/15,0.7,-1.0,雪ときどき曇り,釧路
2022/3/16,3.1,-0.5,曇りときどき雪,釧路
2022/3/17,3.2,-0.2,曇り,釧路
2022/3/18,0.6,-1.7,曇りときどき晴れ,釧路
2022/3/19,0.1,-1.6,雪,釧路
2022/3/20,3.8,-2.9,曇り,釧路
2022/3/21,3.7,-6.4,晴れときどき曇り,釧路
2022/3/22,3.2,-4.0,晴れときどき曇り,釧路
2022/3/23,5.9,-3.9,晴れときどき曇り,釧路
2022/3/24,4.6,-1.1,曇りのち晴れ,釧路
2022/3/25,7.2,-2.0,晴れ,釧路
2022/3/26,6.8,1.7,雨ときどき曇り,釧路
2022/3/27,12.2,2.8,曇り,釧路
2022/3/28,9.9,0.4,晴れときどき曇り,釧路
2022/3/29,8.3,-2.4,晴れ,釧路
2022/3/30,10.3,1.0,晴れときどき曇り,釧路
2022/3/31,5.2,1.0,晴れときどき曇り,釧路
2022/4/1,3.9,-1.0,曇りときどき晴れ,釧路
2022/4/2,5.6,-6.2,晴れ,釧路
2022/4/3,8.6,1.5,晴れときどき曇り,釧路
2022/4/4,9.1,0.8,晴れときどき曇り,釧路
2022/4/5,8.3,-0.1,晴れときどき曇り,釧路
2022/4/6,9.6,2.1,曇りときどき晴れ,釧路
2022/4/7,6.6,-2.0,晴れときどき曇り,釧路
2022/4/8,6.1,0.4,みぞれときどき雨,釧路
2022/4/9,9.2,0.8,晴れときどき曇り,釧路
2022/4/10,12.7,3.0,晴れ,釧路
2022/4/11,11.5,2.4,曇り,釧路
2022/4/12,9.5,3.2,曇り,釧路
2022/4/13,7.5,1.7,雨のち曇り,釧路
2022/4/14,5.4,-0.6,晴れ,釧路
2022/4/15,6.6,0.7,曇り,釧路
2022/4/16,11.2,0.3,曇りのち晴れ,釧路
2022/4/17,9.9,-2.9,晴れ,釧路
2022/4/18,9.8,0.6,晴れ,釧路
2022/4/19,10.4,3.8,晴れ,釧路
2022/4/20,9.4,-0.2,晴れ,釧路
2022/4/21,11.9,4.7,晴れ,釧路
2022/4/22,10.3,5.8,雨ときどき小雨,釧路
2022/4/23,17.2,4.7,晴れ,釧路
2022/4/24,11.0,1.0,晴れ,釧路
2022/4/25,17.5,4.0,晴れときどき曇り,釧路
2022/4/26,11.6,1.5,曇りときどき晴れ,釧路
2022/4/27,18.0,5.9,小雨ときどき曇り,釧路
2022/4/28,0.0,0.0,晴れ,釧路
2022/4/29,11.5,3.7,曇りときどき晴れ,釧路
2022/4/30,15.9,3.5,曇りときどき晴れ,釧路
2022/5/1,9.2,1.5,雨ときどき曇り,釧路
2022/5/2,10.0,1.9,曇りときどき雨,釧路
2022/5/3,13.6,1.3,晴れ,釧路
2022/5/4,16.7,4.3,曇りときどき雨,釧路
2022/5/5,8.6,3.3,晴れときどき曇り,釧路
2022/5/6,10.0,5.7,曇り,釧路
2022/5/7,12.5,7.3,小雨ときどき晴れ,釧路
2022/5/8,15.7,6.3,晴れ,釧路
2022/5/9,13.1,6.6,晴れのち曇り,釧路
2022/5/10,17.8,6.7,晴れ,釧路
2022/5/11,15.6,3.5,晴れ,釧路
2022/5/12,12.2,7.8,曇り,釧路
2022/5/13,11.8,9.5,雨ときどき小雨,釧路
2022/5/14,16.3,7.8,雨ときどき曇り,釧路
2022/5/15,14.1,8.1,晴れときどき曇り,釧路
2022/5/16,12.5,6.9,晴れ,釧路
2022/5/17,13.0,4.8,曇りときどき晴れ,釧路
2022/5/18,12.4,6.7,曇りときどき晴れ,釧路
2022/5/19,11.7,5.2,曇りのち晴れ,釧路
2022/5/20,17.0,9.0,曇り,釧路
2022/5/21,17.3,6.7,晴れのち曇り,釧路
2022/5/22,17.7,7.8,曇り,釧路
2022/5/23,16.6,9.0,曇りときどき雨,釧路
2022/5/24,16.3,7.2,晴れ,釧路
2022/5/25,14.9,6.7,晴れのち曇り,釧路
2022/5/26,14.8,8.3,曇りときどき晴れ,釧路
2022/5/27,16.3,11.5,曇り,釧路
2022/5/28,14.6,10.1,雨ときどき曇り,釧路
2022/5/29,16.5,9.1,晴れときどき曇り,釧路
2022/5/30,17.1,7.5,曇りときどき晴れ,釧路
2022/5/31,12.2,7.4,曇りときどき雨,釧路
2022/6/1,14.2,7.4,雨ときどき曇り,釧路
2022/6/2,13.6,9.2,曇り,釧路
2022/6/3,14.6,7.8,曇りときどき雨,釧路
2022/6/4,16.2,5.6,曇りときどき晴れ,釧路
2022/6/5,14.5,7.2,晴れときどき雨,釧路
2022/6/6,11.2,5.3,晴れときどき曇り,釧路
2022/6/7,15.6,3.7,曇りのち晴れ,釧路
2022/6/8,10.4,4.1,曇り,釧路
2022/6/9,13.7,8.3,曇り,釧路
2022/6/10,15.4,11.9,曇り,釧路
2022/6/11,13.7,8.3,曇り,釧路
2022/6/12,11.5,8.4,雨ときどき曇り,釧路
2022/1/1,-0.2,-9.6,雪ときどき曇り,室蘭
2022/1/2,3.0,-4.9,曇り,室蘭
2022/1/3,-4.0,-6.5,雪ときどき曇り,室蘭
2022/1/4,-4.6,-7.1,雪ときどき曇り,室蘭
2022/1/5,0.4,-6.5,晴れときどき雪,室蘭
2022/1/6,0.6,-4.3,晴れときどき曇り,室蘭
2022/1/7,0.0,-3.6,雪のち晴れ,室蘭
2022/1/8,1.9,-3.3,雪ときどき曇り,室蘭
2022/1/9,2.3,-3.3,曇りときどき晴れ,室蘭
2022/1/10,0.9,-3.5,晴れときどき雪,室蘭
2022/1/11,4.1,-3.4,曇り,室蘭
2022/1/12,2.7,-0.2,曇り,室蘭
2022/1/13,1.0,-1.0,曇りのち晴れ,室蘭
2022/1/14,1.6,-1.4,雪ときどき曇り,室蘭
2022/1/15,2.7,-0.4,曇り,室蘭
2022/1/16,2.1,-1.8,曇り,室蘭
2022/1/17,2.1,-3.7,雪のち曇り,室蘭
2022/1/18,0.6,-4.7,晴れときどき雪,室蘭
2022/1/19,2.0,-3.6,晴れ,室蘭
2022/1/20,1.3,-5.6,曇り,室蘭
2022/1/21,1.4,-5.6,晴れときどき雪,室蘭
2022/1/22,1.0,-3.2,晴れ,室蘭
2022/1/23,0.8,-3.4,晴れ,室蘭
